ID;Kategorie;Bezug;Beschreibung;DoD;Status;Prio;Sprint;Owner
1;Feature Implementierung;Zweitquelle Preise;Implementiere: Zweitquelle Preise;Code & Review;TODO;P0;Sprint 1;Owner
2;Unit-Test;Zweitquelle Preise;Unit-Tests für: Zweitquelle Preise;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
3;Integrationstest;Zweitquelle Preise;E2E: ETL→Feature/Signal→Report für: Zweitquelle Preise;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
4;Feature Implementierung;Corporate-Actions-Log;Implementiere: Corporate-Actions-Log;Code & Review;TODO;P0;Sprint 1;Owner
5;Unit-Test;Corporate-Actions-Log;Unit-Tests für: Corporate-Actions-Log;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
6;Integrationstest;Corporate-Actions-Log;E2E: ETL→Feature/Signal→Report für: Corporate-Actions-Log;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
7;Feature Implementierung;Börsenkalender;Implementiere: Börsenkalender;Code & Review;TODO;P0;Sprint 1;Owner
8;Unit-Test;Börsenkalender;Unit-Tests für: Börsenkalender;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
9;Integrationstest;Börsenkalender;E2E: ETL→Feature/Signal→Report für: Börsenkalender;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
10;Feature Implementierung;Sommer-/Winterzeit;Implementiere: Sommer-/Winterzeit;Code & Review;TODO;P1;Sprint 2;Owner
11;Unit-Test;Sommer-/Winterzeit;Unit-Tests für: Sommer-/Winterzeit;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
12;Integrationstest;Sommer-/Winterzeit;E2E: ETL→Feature/Signal→Report für: Sommer-/Winterzeit;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
13;Feature Implementierung;Ausreißer-Klassifikation;Implementiere: Ausreißer-Klassifikation;Code & Review;TODO;P1;Sprint 2;Owner
14;Unit-Test;Ausreißer-Klassifikation;Unit-Tests für: Ausreißer-Klassifikation;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
15;Integrationstest;Ausreißer-Klassifikation;E2E: ETL→Feature/Signal→Report für: Ausreißer-Klassifikation;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
16;Feature Implementierung;Volume-Sanity;Implementiere: Volume-Sanity;Code & Review;TODO;P1;Sprint 2;Owner
17;Unit-Test;Volume-Sanity;Unit-Tests für: Volume-Sanity;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
18;Integrationstest;Volume-Sanity;E2E: ETL→Feature/Signal→Report für: Volume-Sanity;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
19;Feature Implementierung;Währungs-Mapping;Implementiere: Währungs-Mapping;Code & Review;TODO;P1;Sprint 2;Owner
20;Unit-Test;Währungs-Mapping;Unit-Tests für: Währungs-Mapping;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
21;Integrationstest;Währungs-Mapping;E2E: ETL→Feature/Signal→Report für: Währungs-Mapping;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
22;Feature Implementierung;Benchmarks/ETFs;Implementiere: Benchmarks/ETFs;Code & Review;TODO;P1;Sprint 2;Owner
23;Unit-Test;Benchmarks/ETFs;Unit-Tests für: Benchmarks/ETFs;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
24;Integrationstest;Benchmarks/ETFs;E2E: ETL→Feature/Signal→Report für: Benchmarks/ETFs;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
25;Feature Implementierung;Delisting-Policy;Implementiere: Delisting-Policy;Code & Review;TODO;P1;Sprint 2;Owner
26;Unit-Test;Delisting-Policy;Unit-Tests für: Delisting-Policy;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
27;Integrationstest;Delisting-Policy;E2E: ETL→Feature/Signal→Report für: Delisting-Policy;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
28;Feature Implementierung;Daten-Diff-Store;Implementiere: Daten-Diff-Store;Code & Review;TODO;P2;Sprint 3;Owner
29;Unit-Test;Daten-Diff-Store;Unit-Tests für: Daten-Diff-Store;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
30;Integrationstest;Daten-Diff-Store;E2E: ETL→Feature/Signal→Report für: Daten-Diff-Store;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
31;Feature Implementierung;Mehr Volatilitätsmaße;Implementiere: Mehr Volatilitätsmaße;Code & Review;TODO;P0;Sprint 1;Owner
32;Unit-Test;Mehr Volatilitätsmaße;Unit-Tests für: Mehr Volatilitätsmaße;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
33;Integrationstest;Mehr Volatilitätsmaße;E2E: ETL→Feature/Signal→Report für: Mehr Volatilitätsmaße;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
34;Feature Implementierung;Trend-Stabilität;Implementiere: Trend-Stabilität;Code & Review;TODO;P0;Sprint 1;Owner
35;Unit-Test;Trend-Stabilität;Unit-Tests für: Trend-Stabilität;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
36;Integrationstest;Trend-Stabilität;E2E: ETL→Feature/Signal→Report für: Trend-Stabilität;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
37;Feature Implementierung;Mean-Reversion-Score;Implementiere: Mean-Reversion-Score;Code & Review;TODO;P1;Sprint 2;Owner
38;Unit-Test;Mean-Reversion-Score;Unit-Tests für: Mean-Reversion-Score;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
39;Integrationstest;Mean-Reversion-Score;E2E: ETL→Feature/Signal→Report für: Mean-Reversion-Score;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
40;Feature Implementierung;Liquiditätsklassen;Implementiere: Liquiditätsklassen;Code & Review;TODO;P1;Sprint 2;Owner
41;Unit-Test;Liquiditätsklassen;Unit-Tests für: Liquiditätsklassen;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
42;Integrationstest;Liquiditätsklassen;E2E: ETL→Feature/Signal→Report für: Liquiditätsklassen;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
43;Feature Implementierung;Gap-Attribution;Implementiere: Gap-Attribution;Code & Review;TODO;P0;Sprint 1;Owner
44;Unit-Test;Gap-Attribution;Unit-Tests für: Gap-Attribution;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
45;Integrationstest;Gap-Attribution;E2E: ETL→Feature/Signal→Report für: Gap-Attribution;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
46;Feature Implementierung;Volatility Squeeze+;Implementiere: Volatility Squeeze+;Code & Review;TODO;P0;Sprint 1;Owner
47;Unit-Test;Volatility Squeeze+;Unit-Tests für: Volatility Squeeze+;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
48;Integrationstest;Volatility Squeeze+;E2E: ETL→Feature/Signal→Report für: Volatility Squeeze+;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
49;Feature Implementierung;Event-Fahnen;Implementiere: Event-Fahnen;Code & Review;TODO;P2;Sprint 3;Owner
50;Unit-Test;Event-Fahnen;Unit-Tests für: Event-Fahnen;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
51;Integrationstest;Event-Fahnen;E2E: ETL→Feature/Signal→Report für: Event-Fahnen;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
52;Feature Implementierung;Sektor-/Peer-RS;Implementiere: Sektor-/Peer-RS;Code & Review;TODO;P1;Sprint 2;Owner
53;Unit-Test;Sektor-/Peer-RS;Unit-Tests für: Sektor-/Peer-RS;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
54;Integrationstest;Sektor-/Peer-RS;E2E: ETL→Feature/Signal→Report für: Sektor-/Peer-RS;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
55;Feature Implementierung;Rolling-Korrelationen;Implementiere: Rolling-Korrelationen;Code & Review;TODO;P1;Sprint 2;Owner
56;Unit-Test;Rolling-Korrelationen;Unit-Tests für: Rolling-Korrelationen;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
57;Integrationstest;Rolling-Korrelationen;E2E: ETL→Feature/Signal→Report für: Rolling-Korrelationen;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
58;Feature Implementierung;Regime-Label-Bibliothek;Implementiere: Regime-Label-Bibliothek;Code & Review;TODO;P0;Sprint 1;Owner
59;Unit-Test;Regime-Label-Bibliothek;Unit-Tests für: Regime-Label-Bibliothek;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
60;Integrationstest;Regime-Label-Bibliothek;E2E: ETL→Feature/Signal→Report für: Regime-Label-Bibliothek;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
61;Feature Implementierung;Whitelist-Only-Modus;Implementiere: Whitelist-Only-Modus;Code & Review;TODO;P0;Sprint 1;Owner
62;Unit-Test;Whitelist-Only-Modus;Unit-Tests für: Whitelist-Only-Modus;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
63;Integrationstest;Whitelist-Only-Modus;E2E: ETL→Feature/Signal→Report für: Whitelist-Only-Modus;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
64;Feature Implementierung;Dedupe v2;Implementiere: Dedupe v2;Code & Review;TODO;P0;Sprint 1;Owner
65;Unit-Test;Dedupe v2;Unit-Tests für: Dedupe v2;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
66;Integrationstest;Dedupe v2;E2E: ETL→Feature/Signal→Report für: Dedupe v2;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
67;Feature Implementierung;Velocity-Spikes;Implementiere: Velocity-Spikes;Code & Review;TODO;P2;Sprint 3;Owner
68;Unit-Test;Velocity-Spikes;Unit-Tests für: Velocity-Spikes;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
69;Integrationstest;Velocity-Spikes;E2E: ETL→Feature/Signal→Report für: Velocity-Spikes;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
70;Feature Implementierung;Novelty-Score;Implementiere: Novelty-Score;Code & Review;TODO;P1;Sprint 2;Owner
71;Unit-Test;Novelty-Score;Unit-Tests für: Novelty-Score;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
72;Integrationstest;Novelty-Score;E2E: ETL→Feature/Signal→Report für: Novelty-Score;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
73;Feature Implementierung;Event-Typisierung;Implementiere: Event-Typisierung;Code & Review;TODO;P1;Sprint 2;Owner
74;Unit-Test;Event-Typisierung;Unit-Tests für: Event-Typisierung;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
75;Integrationstest;Event-Typisierung;E2E: ETL→Feature/Signal→Report für: Event-Typisierung;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
76;Feature Implementierung;Sentiment-Aggregation;Implementiere: Sentiment-Aggregation;Code & Review;TODO;P1;Sprint 2;Owner
77;Unit-Test;Sentiment-Aggregation;Unit-Tests für: Sentiment-Aggregation;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
78;Integrationstest;Sentiment-Aggregation;E2E: ETL→Feature/Signal→Report für: Sentiment-Aggregation;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
79;Feature Implementierung;Konfliktprüfung;Implementiere: Konfliktprüfung;Code & Review;TODO;P2;Sprint 3;Owner
80;Unit-Test;Konfliktprüfung;Unit-Tests für: Konfliktprüfung;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
81;Integrationstest;Konfliktprüfung;E2E: ETL→Feature/Signal→Report für: Konfliktprüfung;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
82;Feature Implementierung;Mehrsprachigkeit;Implementiere: Mehrsprachigkeit;Code & Review;TODO;P2;Sprint 3;Owner
83;Unit-Test;Mehrsprachigkeit;Unit-Tests für: Mehrsprachigkeit;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
84;Integrationstest;Mehrsprachigkeit;E2E: ETL→Feature/Signal→Report für: Mehrsprachigkeit;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
85;Feature Implementierung;Negations-/Sarkasmus-Filter;Implementiere: Negations-/Sarkasmus-Filter;Code & Review;TODO;P2;Sprint 3;Owner
86;Unit-Test;Negations-/Sarkasmus-Filter;Unit-Tests für: Negations-/Sarkasmus-Filter;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
87;Integrationstest;Negations-/Sarkasmus-Filter;E2E: ETL→Feature/Signal→Report für: Negations-/Sarkasmus-Filter;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
88;Feature Implementierung;Source-Drift-Monitor;Implementiere: Source-Drift-Monitor;Code & Review;TODO;P2;Sprint 3;Owner
89;Unit-Test;Source-Drift-Monitor;Unit-Tests für: Source-Drift-Monitor;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
90;Integrationstest;Source-Drift-Monitor;E2E: ETL→Feature/Signal→Report für: Source-Drift-Monitor;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
91;Feature Implementierung;Meta-Labeling;Implementiere: Meta-Labeling;Code & Review;TODO;P2;Sprint 3;Owner
92;Unit-Test;Meta-Labeling;Unit-Tests für: Meta-Labeling;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
93;Integrationstest;Meta-Labeling;E2E: ETL→Feature/Signal→Report für: Meta-Labeling;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
94;Feature Implementierung;Zwei-Stufen-Modelle;Implementiere: Zwei-Stufen-Modelle;Code & Review;TODO;P2;Sprint 3;Owner
95;Unit-Test;Zwei-Stufen-Modelle;Unit-Tests für: Zwei-Stufen-Modelle;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
96;Integrationstest;Zwei-Stufen-Modelle;E2E: ETL→Feature/Signal→Report für: Zwei-Stufen-Modelle;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
97;Feature Implementierung;PurgedKFold+Embargo;Implementiere: PurgedKFold+Embargo;Code & Review;TODO;P2;Sprint 3;Owner
98;Unit-Test;PurgedKFold+Embargo;Unit-Tests für: PurgedKFold+Embargo;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
99;Integrationstest;PurgedKFold+Embargo;E2E: ETL→Feature/Signal→Report für: PurgedKFold+Embargo;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
100;Feature Implementierung;Walk-Forward-Plan;Implementiere: Walk-Forward-Plan;Code & Review;TODO;P2;Sprint 3;Owner
101;Unit-Test;Walk-Forward-Plan;Unit-Tests für: Walk-Forward-Plan;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
102;Integrationstest;Walk-Forward-Plan;E2E: ETL→Feature/Signal→Report für: Walk-Forward-Plan;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
103;Feature Implementierung;Regularisierung/ES;Implementiere: Regularisierung/ES;Code & Review;TODO;P2;Sprint 3;Owner
104;Unit-Test;Regularisierung/ES;Unit-Tests für: Regularisierung/ES;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
105;Integrationstest;Regularisierung/ES;E2E: ETL→Feature/Signal→Report für: Regularisierung/ES;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
106;Feature Implementierung;SHAP-Stabilität;Implementiere: SHAP-Stabilität;Code & Review;TODO;P2;Sprint 3;Owner
107;Unit-Test;SHAP-Stabilität;Unit-Tests für: SHAP-Stabilität;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
108;Integrationstest;SHAP-Stabilität;E2E: ETL→Feature/Signal→Report für: SHAP-Stabilität;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
109;Feature Implementierung;Drift-Monitor;Implementiere: Drift-Monitor;Code & Review;TODO;P2;Sprint 3;Owner
110;Unit-Test;Drift-Monitor;Unit-Tests für: Drift-Monitor;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
111;Integrationstest;Drift-Monitor;E2E: ETL→Feature/Signal→Report für: Drift-Monitor;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
112;Feature Implementierung;Ensembling/Stacking;Implementiere: Ensembling/Stacking;Code & Review;TODO;P2;Sprint 3;Owner
113;Unit-Test;Ensembling/Stacking;Unit-Tests für: Ensembling/Stacking;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
114;Integrationstest;Ensembling/Stacking;E2E: ETL→Feature/Signal→Report für: Ensembling/Stacking;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
115;Feature Implementierung;Anomalie-Detektion;Implementiere: Anomalie-Detektion;Code & Review;TODO;P2;Sprint 3;Owner
116;Unit-Test;Anomalie-Detektion;Unit-Tests für: Anomalie-Detektion;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
117;Integrationstest;Anomalie-Detektion;E2E: ETL→Feature/Signal→Report für: Anomalie-Detektion;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
118;Feature Implementierung;Kalibrierung;Implementiere: Kalibrierung;Code & Review;TODO;P2;Sprint 3;Owner
119;Unit-Test;Kalibrierung;Unit-Tests für: Kalibrierung;UT grün, Coverage ≥ 80%;TODO;P2;Sprint 3;Owner
120;Integrationstest;Kalibrierung;E2E: ETL→Feature/Signal→Report für: Kalibrierung;IT grün, Golden Files;TODO;P2;Sprint 3;Owner
121;Feature Implementierung;Gating-Order fix;Implementiere: Gating-Order fix;Code & Review;TODO;P0;Sprint 1;Owner
122;Unit-Test;Gating-Order fix;Unit-Tests für: Gating-Order fix;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
123;Integrationstest;Gating-Order fix;E2E: ETL→Feature/Signal→Report für: Gating-Order fix;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
124;Feature Implementierung;Hysterese;Implementiere: Hysterese;Code & Review;TODO;P0;Sprint 1;Owner
125;Unit-Test;Hysterese;Unit-Tests für: Hysterese;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
126;Integrationstest;Hysterese;E2E: ETL→Feature/Signal→Report für: Hysterese;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
127;Feature Implementierung;Konfliktmatrix;Implementiere: Konfliktmatrix;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
128;Unit-Test;Konfliktmatrix;Unit-Tests für: Konfliktmatrix;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
129;Integrationstest;Konfliktmatrix;E2E: ETL→Feature/Signal→Report für: Konfliktmatrix;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
130;Feature Implementierung;Score-Smoothing;Implementiere: Score-Smoothing;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
131;Unit-Test;Score-Smoothing;Unit-Tests für: Score-Smoothing;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
132;Integrationstest;Score-Smoothing;E2E: ETL→Feature/Signal→Report für: Score-Smoothing;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
133;Feature Implementierung;Setup-Typisierung;Implementiere: Setup-Typisierung;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
134;Unit-Test;Setup-Typisierung;Unit-Tests für: Setup-Typisierung;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
135;Integrationstest;Setup-Typisierung;E2E: ETL→Feature/Signal→Report für: Setup-Typisierung;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
136;Feature Implementierung;Horizont-Profile;Implementiere: Horizont-Profile;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
137;Unit-Test;Horizont-Profile;Unit-Tests für: Horizont-Profile;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
138;Integrationstest;Horizont-Profile;E2E: ETL→Feature/Signal→Report für: Horizont-Profile;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
139;Feature Implementierung;Fee-Gate dynamisch;Implementiere: Fee-Gate dynamisch;Code & Review;TODO;P0;Sprint 1;Owner
140;Unit-Test;Fee-Gate dynamisch;Unit-Tests für: Fee-Gate dynamisch;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
141;Integrationstest;Fee-Gate dynamisch;E2E: ETL→Feature/Signal→Report für: Fee-Gate dynamisch;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
142;Feature Implementierung;Volatility-Budget;Implementiere: Volatility-Budget;Code & Review;TODO;P0;Sprint 1;Owner
143;Unit-Test;Volatility-Budget;Unit-Tests für: Volatility-Budget;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
144;Integrationstest;Volatility-Budget;E2E: ETL→Feature/Signal→Report für: Volatility-Budget;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
145;Feature Implementierung;Spread-Proxy dynamisch;Implementiere: Spread-Proxy dynamisch;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
146;Unit-Test;Spread-Proxy dynamisch;Unit-Tests für: Spread-Proxy dynamisch;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
147;Integrationstest;Spread-Proxy dynamisch;E2E: ETL→Feature/Signal→Report für: Spread-Proxy dynamisch;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
148;Feature Implementierung;ATR-SL & Chandelier;Implementiere: ATR-SL & Chandelier;Code & Review;TODO;P0;Sprint 1;Owner
149;Unit-Test;ATR-SL & Chandelier;Unit-Tests für: ATR-SL & Chandelier;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
150;Integrationstest;ATR-SL & Chandelier;E2E: ETL→Feature/Signal→Report für: ATR-SL & Chandelier;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
151;Feature Implementierung;TP-Leitern;Implementiere: TP-Leitern;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
152;Unit-Test;TP-Leitern;Unit-Tests für: TP-Leitern;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
153;Integrationstest;TP-Leitern;E2E: ETL→Feature/Signal→Report für: TP-Leitern;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
154;Feature Implementierung;Exposure/Loss-Limits;Implementiere: Exposure/Loss-Limits;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
155;Unit-Test;Exposure/Loss-Limits;Unit-Tests für: Exposure/Loss-Limits;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
156;Integrationstest;Exposure/Loss-Limits;E2E: ETL→Feature/Signal→Report für: Exposure/Loss-Limits;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
157;Feature Implementierung;Rebalance-Regeln;Implementiere: Rebalance-Regeln;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
158;Unit-Test;Rebalance-Regeln;Unit-Tests für: Rebalance-Regeln;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
159;Integrationstest;Rebalance-Regeln;E2E: ETL→Feature/Signal→Report für: Rebalance-Regeln;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
160;Feature Implementierung;EUR-Reporting;Implementiere: EUR-Reporting;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
161;Unit-Test;EUR-Reporting;Unit-Tests für: EUR-Reporting;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
162;Integrationstest;EUR-Reporting;E2E: ETL→Feature/Signal→Report für: EUR-Reporting;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
163;Feature Implementierung;Batching;Implementiere: Batching;Code & Review;TODO;P3;Sprint 4+ / Backlog;Owner
164;Unit-Test;Batching;Unit-Tests für: Batching;UT grün, Coverage ≥ 80%;TODO;P3;Sprint 4+ / Backlog;Owner
165;Integrationstest;Batching;E2E: ETL→Feature/Signal→Report für: Batching;IT grün, Golden Files;TODO;P3;Sprint 4+ / Backlog;Owner
166;Feature Implementierung;vectorbt + backtesting.py;Implementiere: vectorbt + backtesting.py;Code & Review;TODO;P0;Sprint 1;Owner
167;Unit-Test;vectorbt + backtesting.py;Unit-Tests für: vectorbt + backtesting.py;UT grün, Coverage ≥ 80%;TODO;P0;Sprint 1;Owner
168;Integrationstest;vectorbt + backtesting.py;E2E: ETL→Feature/Signal→Report für: vectorbt + backtesting.py;IT grün, Golden Files;TODO;P0;Sprint 1;Owner
169;Feature Implementierung;Parameter-Stress;Implementiere: Parameter-Stress;Code & Review;TODO;P1;Sprint 2;Owner
170;Unit-Test;Parameter-Stress;Unit-Tests für: Parameter-Stress;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
171;Integrationstest;Parameter-Stress;E2E: ETL→Feature/Signal→Report für: Parameter-Stress;IT grün, Golden Files;TODO;P1;Sprint 2;Owner
172;Feature Implementierung;Monte-Carlo;Implementiere: Monte-Carlo;Code & Review;TODO;P1;Sprint 2;Owner
173;Unit-Test;Monte-Carlo;Unit-Tests für: Monte-Carlo;UT grün, Coverage ≥ 80%;TODO;P1;Sprint 2;Owner
