Nr;Kategorie;Titel;Beschreibung;Priorität;Sprint;Status;Owner
1;Datenqualität;Zweitquelle Preise;Fallback (AV/Finnhub) + Auto-Umschaltung bei Ausfällen.;P0;Sprint 1;TODO;
2;Datenqualität;Corporate-Actions-Log;Splits/Dividenden mit Hash-Check speichern.;P0;Sprint 1;TODO;
3;Datenqualität;Börsenkalender;"Feiertage/Handelskalender je Börse; korrektes EOD-Alignment.";P0;Sprint 1;TODO;
4;Datenqualität;Sommer-/Winterzeit;Timezone-Normalisierung Europe/Berlin für Intraday.;P1;Sprint 2;TODO;
5;Datenqualität;Ausreißer-Klassifikation;Statistische vs. Event-getriebene Outlier unterscheiden.;P1;Sprint 2;TODO;
6;Datenqualität;Volume-Sanity;"Null-Volumen-Tage markieren; spread_proxy hochsetzen/No-Trade.";P1;Sprint 2;TODO;
7;Datenqualität;Währungs-Mapping;"Quellwährung je Ticker; Reporting konsistent in EUR.";P1;Sprint 2;TODO;
8;Datenqualität;Benchmarks/ETFs;Region-/Sektor-ETFs für RS & Regimeanalyse.;P1;Sprint 2;TODO;
9;Datenqualität;Delisting-Policy;Gültige Handelszeiträume, Survivorship Bias minimieren.;P1;Sprint 2;TODO;
10;Datenqualität;Daten-Diff-Store;Tägliche Deltas für schnellen Rebuild/Restore.;P2;Sprint 3;TODO;
11;Features;Mehr Volatilitätsmaße;"Rogers–Satchell, Yang–Zhang; regimespezifisch wählen.";P0;Sprint 1;TODO;
12;Features;Trend-Stabilität;Lineare Trend-R², Hurst-Exponent als Zusatzfilter.;P0;Sprint 1;TODO;
13;Features;Mean-Reversion-Score;"Z-Score auf Returns; Halbwertszeit schätzen.";P1;Sprint 2;TODO;
14;Features;Liquiditätsklassen;"ADV in EUR, Vol/Spread-Heat; Klassifikation pro Ticker.";P1;Sprint 2;TODO;
15;Features;Gap-Attribution;Overnight vs. Intraday-Return-Anteil.;P0;Sprint 1;TODO;
16;Features;Volatility Squeeze+;BB/ATR-Verhältnis + Squeeze-Dauer als Breakout-Prädiktor.;P0;Sprint 1;TODO;
17;Features;Event-Fahnen;"Earnings/Guidance/Dividenden; optional Blackout-Fenster.";P2;Sprint 3;TODO;
18;Features;Sektor-/Peer-RS;"Ticker vs. Sektor-ETF/Peer-Buckets; Cross-sectional Momentum.";P1;Sprint 2;TODO;
19;Features;Rolling-Korrelationen;Ticker↔Benchmark zur Risiko- und Limit-Steuerung.;P1;Sprint 2;TODO;
20;Features;Regime-Label-Bibliothek;bull/bear/sideways, high/low vol – Score dynamisch gewichten.;P0;Sprint 1;TODO;
21;News;Whitelist-Only-Modus;"Nur seriöse Domains; harte Blacklist für Clickbait.";P0;Sprint 1;TODO;
22;News;Dedupe v2;"TF-IDF + Embedding-Cosine; beste Quelle wählen.";P0;Sprint 1;TODO;
23;News;Velocity-Spikes;"Meldungen pro Stunde; Cooldown-Regel bei Spikes.";P2;Sprint 3;TODO;
24;News;Novelty-Score;Neue Info vs. Wiederholung erkennen.;P1;Sprint 2;TODO;
25;News;Event-Typisierung;M&A/Litigation/Guidance Heuristik-Labels.;P1;Sprint 2;TODO;
26;News;Sentiment-Aggregation;Gewichtung nach Domain-Reputation & Frische.;P1;Sprint 2;TODO;
27;News;Konfliktprüfung;Positives Sentiment vs. negativer Kurs – Vertrauen senken.;P2;Sprint 3;TODO;
28;News;Mehrsprachigkeit;"DE/EN; Ticker-/Alias-Mapping verbessern.";P2;Sprint 3;TODO;
29;News;Negations-/Sarkasmus-Filter;"Regelbasiert; säubert Sentiment.";P2;Sprint 3;TODO;
30;News;Source-Drift-Monitor;Quellen mit Auffälligkeiten automatisch abwerten.;P2;Sprint 3;TODO;
31;KI/ML;Meta-Labeling;Lopez de Prado – Falschsignale reduzieren.;P2;Sprint 3;TODO;
32;KI/ML;Zwei-Stufen-Modelle;a) Signal-Validation, b) Return-Size (Regressor).;P2;Sprint 3;TODO;
33;KI/ML;PurgedKFold+Embargo;"Embargo ≥ Label-Horizont; striktes CV ohne Leakage.";P2;Sprint 3;TODO;
34;KI/ML;Walk-Forward-Plan;"3y/1y rollend; Out-of-time-Test verpflichtend.";P2;Sprint 3;TODO;
35;KI/ML;Regularisierung/ES;Early-Stopping, robuste Generalisierung.;P2;Sprint 3;TODO;
36;KI/ML;SHAP-Stabilität;Feature-Importance-Varianz als Ship-Kriterium.;P2;Sprint 3;TODO;
37;KI/ML;Drift-Monitor;"Population/KS-Tests; degrade-to-rules bei Alarm.";P2;Sprint 3;TODO;
38;KI/ML;Ensembling/Stacking;Kombination mehrerer Modelle.;P2;Sprint 3;TODO;
39;KI/ML;Anomalie-Detektion;IsolationForest/Autoencoder gegen Fake-Moves/Datenfehler.;P2;Sprint 3;TODO;
40;KI/ML;Kalibrierung;Platt/Isotonic für nutzbare ML-Probas.;P2;Sprint 3;TODO;
41;Signale;Gating-Order fix;Filter → Signale → News → ML → Composite.;P0;Sprint 1;TODO;
42;Signale;Hysterese;Entry ≥70, Exit <55 zur Flatterreduktion.;P0;Sprint 1;TODO;
43;Signale;Konfliktmatrix;Regel vs. ML vs. News – Konfliktauflösung/Blockierung.;P3;Sprint 4+ / Backlog;TODO;
44;Signale;Score-Smoothing;EMA auf Composite ohne Zukunftsinfo.;P3;Sprint 4+ / Backlog;TODO;
45;Signale;Setup-Typisierung;Trend/Breakout/Reversal → unterschiedliche Exits.;P3;Sprint 4+ / Backlog;TODO;
46;Signale;Horizont-Profile;Kurz/Mittel/Lang getrennte Schwellen & Stops.;P3;Sprint 4+ / Backlog;TODO;
47;Portfolio;Fee-Gate dynamisch;Abhängig von Vola & erwarteter Haltedauer.;P0;Sprint 1;TODO;
48;Portfolio;Volatility-Budget;"1/ATR + Mindestnotional; Caps für Sektor/Korrelation.";P0;Sprint 1;TODO;
49;Portfolio;Spread-Proxy dynamisch;"Perzentile über N Tage; illiquide abwerten.";P3;Sprint 4+ / Backlog;TODO;
50;Portfolio;ATR-SL & Chandelier;"Initial SL=2×ATR; Trail=3×ATR; Break-even ab 1.2R.";P0;Sprint 1;TODO;
51;Portfolio;TP-Leitern;1.5R/2R + Rest trailen lassen.;P3;Sprint 4+ / Backlog;TODO;
52;Portfolio;Exposure/Loss-Limits;Max-Exposure, Tages-/Wochenverlust-Limits.;P3;Sprint 4+ / Backlog;TODO;
53;Portfolio;Rebalance-Regeln;Zeit- oder Score-Delta-basiert.;P3;Sprint 4+ / Backlog;TODO;
54;Portfolio;EUR-Reporting;Konsistente EUR-Auswertung inkl. FX-Hinweis.;P3;Sprint 4+ / Backlog;TODO;
55;Portfolio;Batching;Transaktionen bündeln statt Bursts.;P3;Sprint 4+ / Backlog;TODO;
56;Backtests;vectorbt + backtesting.py;Portfolio & Einzeltitel – komplementär.;P0;Sprint 1;TODO;
57;Backtests;Parameter-Stress;"Grid/Random; Plateau-Analyse.";P1;Sprint 2;TODO;
58;Backtests;Monte-Carlo;Block-Resample 20–60 Tage für Tail-Risiken.;P1;Sprint 2;TODO;
59;Backtests;Survivorship-Check;‚Lebende‘ vs. ‚alle jemals‘ – beides testen.;P3;Sprint 4+ / Backlog;TODO;
60;Backtests;Kosten immer aktiv;1 € Order, bps, Spread/Latenz-Proxy.;P0;Sprint 1;TODO;
61;Backtests;Berichtsset;CAGR, Sharpe/Sortino, MaxDD, PF, Win-Rate, Rolling.;P1;Sprint 2;TODO;
62;Backtests;Promotion-Kriterien;PF≥1.3, Sharpe≥0.9, Stable OOT – sonst No-Ship.;P0;Sprint 1;TODO;
63;UI/UX;Dark-Theme & Badges;"Score/Regime-Badges; klare Farbsemantik.";P1;Sprint 2;TODO;
64;UI/UX;Heatmap Drill-down;Detail-‚Warum‘ (Regeln + SHAP).;P1;Sprint 2;TODO;
65;UI/UX;Top-Listen;"Tag/Woche/Monat; Top-15; Duplikate vermeiden.";P1;Sprint 2;TODO;
66;UI/UX;Guardrails Settings;Limits, Defaults, Tooltips, Reset.;P2;Sprint 3;TODO;
67;UI/UX;Warnbanner Fee-Gate;Hinweis bei zu kleinen Orders.;P2;Sprint 3;TODO;
68;UI/UX;Journal Analytics;TR-CSV, P&L, Setup-Performance.;P1;Sprint 2;TODO;
69;Betrieb;APScheduler;"EOD 22:00 CET; Intraday 10 min; Jobstore, Locks, Retry.";P0;Sprint 1;TODO;
70;Betrieb;Idempotenz;"Checkpointing; Hashes; wiederholbare Läufe.";P0;Sprint 1;TODO;
71;Betrieb;Logging;"Rotierende & JSON-Logs; Korrelations-ID je Lauf.";P2;Sprint 3;TODO;
72;Betrieb;Self-Test-Seite;Ampel: Daten/Features/Modelle/FX frisch?;P3;Sprint 4+ / Backlog;TODO;
73;Betrieb;Ressourcen-Management;Batching bei großen Watchlists.;P3;Sprint 4+ / Backlog;TODO;
74;Governance;Secrets in .env;"Nie im Code; Rate-Limits beachten.";P3;Sprint 4+ / Backlog;TODO;
75;Governance;Rechtemodell;Bei Serverbetrieb Nutzerrollen definieren.;P3;Sprint 4+ / Backlog;TODO;
76;Governance;Disclaimer & Paper;"Paper-Trading als Default; Hinweise sichtbar.";P3;Sprint 4+ / Backlog;TODO;
77;Governance;Konfig-Hash;Reports enthalten Config- und Git-Hash.;P3;Sprint 4+ / Backlog;TODO;
78;Governance;Aufbewahrung;Logs/Reports mit Rotationspolicy.;P3;Sprint 4+ / Backlog;TODO;
79;Qualität;Unit-Tests;Indikatoren/Fees/P&L/FX/Score – Referenzabgleich.;P3;Sprint 4+ / Backlog;TODO;
80;Qualität;Integration/Load/Edge;"End-to-End Pipeline; Last; Delisting/Splits/Zeitzonen.";P3;Sprint 4+ / Backlog;TODO;
